"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"C48","_0402","-0.6mm","-4.1mm","-0.6mm","-4.1mm","-0.2mm","-4.1mm","B","180.00","1u"
"U6","Osc_25x20_(4)","5.8mm","-9.2mm","5.8mm","-9.2mm","5.05mm","-8.25mm","T","270.00","501AAA24M0000DAGR"
"X1","MOLEX_47219-2001","4mm","3.2mm","4mm","3.2mm","5.55mm","6.405mm","T","90.00","47219-2001"
"U7","VOG20_L","3.8mm","-7.3mm","3.8mm","-7.3mm","0.875mm","-4.5mm","B","270.00","XCF04SVOG20C"
"U5","SON65P200x200_HS-6N","-5.2mm","7.8mm","-5.2mm","7.8mm","-4.55mm","8.9mm","T","270.00","TPS7A3725DRVR"
"U4","BGA60C80P12X9_1300X800X120","-6.7mm","-0.8mm","-6.7mm","-0.8mm","-3.5mm","4.7mm","B","180.00","IS43R86400D"
"U1","CSG225","4.2mm","3.3mm","4.2mm","3.3mm","-1.4mm","-2.3mm","B","360.00","XC6SLX16-2CSG225I"
"C1","_0805","-9.8mm","-5.1mm","-9.8mm","-5.1mm","-9.8mm","-5.975mm","T","90.00","C2012X5R1V106K085AC"
"C2","_0805","-10mm","7.4mm","-10mm","7.4mm","-10mm","6.525mm","T","90.00","C2012X5R1V106K085AC"
"C3","_0402","7.8mm","-4.5mm","7.8mm","-4.5mm","7.8mm","-4.9mm","B","90.00","1u"
"C4","_0402","-0.6mm","-5mm","-0.6mm","-5mm","-0.2mm","-5mm","B","180.00","1u"
"C5","_0402","-10.1mm","6.4mm","-10.1mm","6.4mm","-9.7mm","6.4mm","B","180.00","1u"
"C6","_0402","-10.1mm","5.6mm","-10.1mm","5.6mm","-10.5mm","5.6mm","T","0.00","100n"
"C7","_0402","-10.1mm","-2.6mm","-10.1mm","-2.6mm","-9.7mm","-2.6mm","T","180.00","100n"
"C8","_0402","-6.2mm","10.2mm","-6.2mm","10.2mm","-6.2mm","9.8mm","T","90.00","1u"
"C9","_0402","9.6mm","-6.8mm","9.6mm","-6.8mm","10mm","-6.8mm","B","180.00","1u"
"C11","_0402","9.6mm","-5.9mm","9.6mm","-5.9mm","10mm","-5.9mm","B","180.00","1u"
